"Time","Tesla","elon musk"
"2009-12-01",3,0
"2010-01-01",3,0
"2010-02-01",3,0
"2010-03-01",3,0
"2010-04-01",3,0
"2010-05-01",4,0
"2010-06-01",4,0
"2010-07-01",4,0
"2010-08-01",3,0
"2010-09-01",3,0
"2010-10-01",3,0
"2010-11-01",3,0
"2010-12-01",3,0
"2011-01-01",4,0
"2011-02-01",3,0
"2011-03-01",4,0
"2011-04-01",4,0
"2011-05-01",3,0
"2011-06-01",3,0
"2011-07-01",3,0
"2011-08-01",3,0
"2011-09-01",3,0
"2011-10-01",4,0
"2011-11-01",3,0
"2011-12-01",3,0
"2012-01-01",3,0
"2012-02-01",4,0
"2012-03-01",3,0
"2012-04-01",3,0
"2012-05-01",4,1
"2012-06-01",4,0
"2012-07-01",4,0
"2012-08-01",4,0
"2012-09-01",5,0
"2012-10-01",4,0
"2012-11-01",6,0
"2012-12-01",5,0
"2013-01-01",5,0
"2013-02-01",6,0
"2013-03-01",5,0
"2013-04-01",6,0
"2013-05-01",11,1
"2013-06-01",9,1
"2013-07-01",9,1
"2013-08-01",14,2
"2013-09-01",10,1
"2013-10-01",12,1
"2013-11-01",12,1
"2013-12-01",9,1
"2014-01-01",9,1
"2014-02-01",12,1
"2014-03-01",12,1
"2014-04-01",11,1
"2014-05-01",11,1
"2014-06-01",12,1
"2014-07-01",12,1
"2014-08-01",11,1
"2014-09-01",11,1
"2014-10-01",15,1
"2014-11-01",10,1
"2014-12-01",10,1
"2015-01-01",12,2
"2015-02-01",13,1
"2015-03-01",12,1
"2015-04-01",13,1
"2015-05-01",18,2
"2015-06-01",13,2
"2015-07-01",14,1
"2015-08-01",15,1
"2015-09-01",16,2
"2015-10-01",17,2
"2015-11-01",14,2
"2015-12-01",13,2
"2016-01-01",13,2
"2016-02-01",16,2
"2016-03-01",16,1
"2016-04-01",35,3
"2016-05-01",17,2
"2016-06-01",16,2
"2016-07-01",18,2
"2016-08-01",15,2
"2016-09-01",15,3
"2016-10-01",18,3
"2016-11-01",15,3
"2016-12-01",14,2
"2017-01-01",15,2
"2017-02-01",16,3
"2017-03-01",16,3
"2017-04-01",20,4
"2017-05-01",19,3
"2017-06-01",19,3
"2017-07-01",28,3
"2017-08-01",23,4
"2017-09-01",20,3
"2017-10-01",20,4
"2017-11-01",29,5
"2017-12-01",23,5
"2018-01-01",17,5
"2018-02-01",30,14
"2018-03-01",22,6
"2018-04-01",24,4
"2018-05-01",25,7
"2018-06-01",24,4
"2018-07-01",23,9
"2018-08-01",26,6
"2018-09-01",27,12
"2018-10-01",26,8
"2018-11-01",22,4
"2018-12-01",24,5
"2019-01-01",23,4
"2019-02-01",23,5
"2019-03-01",31,5
"2019-04-01",29,5
"2019-05-01",31,4
"2019-06-01",29,4
"2019-07-01",29,4
"2019-08-01",27,3
"2019-09-01",23,3
"2019-10-01",25,4
"2019-11-01",48,7
"2019-12-01",35,5
"2020-01-01",39,6
"2020-02-01",46,5
"2020-03-01",33,5
"2020-04-01",27,7
"2020-05-01",32,37
"2020-06-01",35,11
"2020-07-01",47,10
"2020-08-01",45,8
"2020-09-01",61,8
"2020-10-01",43,5
"2020-11-01",41,8
"2020-12-01",51,8
"2021-01-01",64,23
"2021-02-01",55,19
"2021-03-01",55,11
"2021-04-01",48,12
"2021-05-01",44,28
"2021-06-01",40,10
"2021-07-01",43,9
"2021-08-01",41,8
"2021-09-01",40,8
"2021-10-01",51,11
"2021-11-01",58,15
"2021-12-01",52,13
"2022-01-01",52,12
"2022-02-01",46,13
"2022-03-01",53,14
"2022-04-01",55,44
"2022-05-01",52,28
"2022-06-01",49,18
"2022-07-01",45,18
"2022-08-01",46,11
"2022-09-01",40,9
"2022-10-01",36,18
"2022-11-01",37,22
"2022-12-01",43,20
"2023-01-01",53,12
"2023-02-01",50,10
"2023-03-01",47,10
"2023-04-01",46,12
"2023-05-01",43,11
"2023-06-01",49,12
"2023-07-01",50,14
"2023-08-01",48,12
"2023-09-01",49,14
"2023-10-01",43,10
"2023-11-01",43,12
"2023-12-01",49,10
"2024-01-01",46,9
"2024-02-01",45,9
"2024-03-01",45,9
"2024-04-01",54,12
"2024-05-01",46,7
"2024-06-01",47,9
"2024-07-01",54,14
"2024-08-01",46,15
"2024-09-01",43,12
"2024-10-01",56,19
"2024-11-01",62,32
"2024-12-01",62,20
"2025-01-01",63,42
"2025-02-01",58,43
"2025-03-01",100,31
"2025-04-01",76,17
"2025-05-01",52,11
"2025-06-01",58,22
"2025-07-01",59,12
"2025-08-01",63,10
"2025-09-01",65,12
"2025-10-01",61,10
"2025-11-01",58,12
"2025-12-01",54,13
"2026-01-01",52,13
"2026-02-01",50,13
"2026-03-01",62,11
"2026-04-01",59,9
